time_cost:2.55, lr:1e-05, epoch:62, train_top1:84.95, train_loss:0.5309719443321228, val_top1:87.50, val_loss:0.5513592958450317, test_top1:77.37, test_loss:0.9871012568473816
time_cost:2.50, lr:1e-05, epoch:64, train_top1:89.25, train_loss:0.48257148265838623, val_top1:87.50, val_loss:0.5064865946769714, test_top1:74.08, test_loss:1.0031250715255737
time_cost:2.51, lr:1e-05, epoch:66, train_top1:84.95, train_loss:0.5006413459777832, val_top1:87.50, val_loss:0.5263081192970276, test_top1:78.14, test_loss:0.9643605947494507
time_cost:2.52, lr:1e-05, epoch:68, train_top1:86.02, train_loss:0.4893973171710968, val_top1:89.58, val_loss:0.5239303112030029, test_top1:79.11, test_loss:0.9517057538032532
time_cost:2.51, lr:1e-05, epoch:70, train_top1:88.17, train_loss:0.45649898052215576, val_top1:87.50, val_loss:0.4717220366001129, test_top1:75.82, test_loss:0.9805933237075806
time_cost:2.53, lr:1e-05, epoch:72, train_top1:90.32, train_loss:0.4461551606655121, val_top1:87.50, val_loss:0.4910111427307129, test_top1:77.37, test_loss:0.9576902985572815
time_cost:2.55, lr:1e-05, epoch:74, train_top1:90.32, train_loss:0.42427781224250793, val_top1:89.58, val_loss:0.4663535952568054, test_top1:76.40, test_loss:0.9520593881607056
time_cost:2.56, lr:1e-05, epoch:76, train_top1:89.25, train_loss:0.424661785364151, val_top1:89.58, val_loss:0.466294527053833, test_top1:76.40, test_loss:0.9501929879188538
time_cost:2.52, lr:1e-05, epoch:78, train_top1:91.40, train_loss:0.41550469398498535, val_top1:91.67, val_loss:0.45349758863449097, test_top1:78.72, test_loss:0.9378722310066223
time_cost:2.57, lr:1e-05, epoch:80, train_top1:91.40, train_loss:0.41482579708099365, val_top1:89.58, val_loss:0.46012234687805176, test_top1:77.18, test_loss:0.9370511174201965
time_cost:2.52, lr:1e-05, epoch:82, train_top1:90.32, train_loss:0.40353721380233765, val_top1:89.58, val_loss:0.46881788969039917, test_top1:77.18, test_loss:0.9109535217285156
time_cost:2.52, lr:1e-05, epoch:84, train_top1:92.47, train_loss:0.3807216286659241, val_top1:87.50, val_loss:0.44132333993911743, test_top1:76.98, test_loss:0.9408774971961975
time_cost:2.49, lr:1e-05, epoch:86, train_top1:91.40, train_loss:0.3831367790699005, val_top1:91.67, val_loss:0.43130287528038025, test_top1:77.18, test_loss:0.948369562625885
time_cost:2.53, lr:1e-05, epoch:88, train_top1:89.25, train_loss:0.372994601726532, val_top1:91.67, val_loss:0.4321461617946625, test_top1:77.37, test_loss:0.9096359610557556
time_cost:2.59, lr:1e-05, epoch:90, train_top1:92.47, train_loss:0.3684544265270233, val_top1:91.67, val_loss:0.439328134059906, test_top1:77.76, test_loss:0.9120376706123352
time_cost:2.53, lr:1e-05, epoch:92, train_top1:91.40, train_loss:0.36905768513679504, val_top1:91.67, val_loss:0.4427240788936615, test_top1:77.37, test_loss:0.9254887104034424
time_cost:2.50, lr:1e-05, epoch:94, train_top1:91.40, train_loss:0.36485037207603455, val_top1:91.67, val_loss:0.4427100419998169, test_top1:78.14, test_loss:0.9066739082336426
time_cost:2.54, lr:1e-05, epoch:96, train_top1:92.47, train_loss:0.3398555815219879, val_top1:87.50, val_loss:0.41527408361434937, test_top1:76.02, test_loss:0.9182279706001282
time_cost:2.53, lr:1e-05, epoch:98, train_top1:91.40, train_loss:0.35830360651016235, val_top1:91.67, val_loss:0.44075262546539307, test_top1:77.76, test_loss:0.91816246509552
time_cost:2.50, lr:1e-05, epoch:100, train_top1:92.47, train_loss:0.33863869309425354, val_top1:87.50, val_loss:0.4092901945114136, test_top1:77.95, test_loss:0.9300740957260132
